,x
420,"23일 오전 6시 35분쯤 경기 김포시 통진읍 가현리 인근 돼지농장에서 아프리카돼지열병 의심 신고가 접수 됐다. 방역당국이 의심신고 농가에서 시료채취 준비를 하고 있다. ⓒ News1
한강 이남인 경기 김포지역에서 아프리카돼지열병(ASF) 의심 신고가 접수됐다. 연천과 파주에 이어 4번째 의심 신고지만 한강 이남지역 첫 신고여서 전국 확산 우려가 어느 때보다 커지고 있다.

농림축산식품부는 23일 오전 6시40분쯤 김포시 통진읍 가현리 인근 양돈장에서 아프리카돼지열병 증상 중 하나인 ‘유산’ 증상이 돼지(모돈) 4마리에서 한꺼번에 발생하는 의심 신고가 접수됐다고 밝혔다.

지난 17일 확진 판정을 받은 경기도 파주농장과 이튿날인 18일 연천농장, 20일 또다른 파주농장 2곳에 이어 4번째 의심 신고다. 20일 신고된 파주농장은 다행히 음성으로 판정됐다.

의심 신고가 접수된 김포 통진읍 양돈장은 최초 ASF 발생지인 파주 농장과 13.7km, 두 번째 발생지인 연천 농장과는 45.8km 떨어져 있다. 방역당국이 설정해 놓은 ASF 중점관리지역 중 한 곳이다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

23일 오전 6시40분쯤 경기 김포시 통진읍 가현리 인근 돼지농장에서 아프리카돼지열병 의심 신고가 접수 됐다. 방역 관계자가 방역간판을 설치하고 있다. ⓒ News1
이 지역은 특히 한강 이남에 위치해 있어서 만약 확진이 된다면 자칫 ASF 전국 확산의 신호탄이 되는 것이 아니냐는 우려가 나온다. 저지선 격인 강을 건너온 만큼 확산 가능성이 높아질 수밖에 없기 때문이다.

의심신고 농장에서 키우는 돼지 수는 1800여마리이며, 이 농장을 기점으로 500m 내에는 2700여마리, 3km 내에는 575마리가 사육 중이다. 최종 확진되는 경우 3km 내 돼지들은 살처분을 피하기 어려울 것으로 보인다.

경기도 김포의 한 돼지농가에서 아프리카돼지열병(ASF) 의심신고가 접수된 23일 정부세종청사 농식품부 기자실에 신고 지역이 모니터에 띄워져 있다. ⓒ News1
농식품부 관계자는 “유산 증상 신고 직후 해당 농가에 초동방역팀 2명을 급파해 사람·가축·차량 이동통제 및 소득 등 긴급 방역 조치 중에 있다”며 “채취한 시료에 대한 정밀 검사 결과는 이르면 오늘밤 나온다”고 밝혔다.

김현수 농식품부 장관은 이날 오전 주재한 ‘아프리카돼지열병 대응상황 점검회의’에서 “3주간이 아프리카돼지열병 확산의 고비가 될 것”이라며 “축사 내외부 소독과 방역 시설 점검에 만전을 기해야 한다”고 당부했다.

(세종=뉴스1)
아프리카돼지열병 국내 첫 발생
아프리카돼지열병 전파는 차량이?…1~4차 농가 모두 연관
인천 강화에서도 ‘돼지열병’ 의심 신고…“정밀검사 중”
김포·파주 돼지열병 발생 농가, 첫 발생지와 차량 역학관계"
421,"현대자동차, ‘찾아가는 반려견 헌혈카’ 캠페인 런칭"
422,2019-09-23 10:04
423,"현대자동차는 반려견 헌혈에 대한 문화 조성 및 인프라 확충을 위해 ‘찾아가는 반려견 헌혈카‘ 캠페인을 진행한다고 23일 밝혔다. 현재 국내 반려견 혈액은 90% 이상이 수혈용으로 사육되는 공혈견으로부터 공급되고 있으며, 반려견이 늘어나는 만큼 수혈 수요도 증가하고 있다. 영국·폴란드 등의 반려 선진국에선 반려동물 헌혈센터가 상시적으로 운영되는 등 반려견 헌혈 문화가 자리잡고 있는 반면, 국내에서 수요 충족을 위해서는 공혈견에만 의존해야 하는 실정이다. 현대차는 쏠라티를 개조해 제작된 헌혈카에 채혈ㆍ분석실 및 최신장비 등을 통해 안전하게 헌혈을 진행할 수 있도록 준비했다. 헌혈에 참여한 반려견에게는 건강 검진을 실시하고 다양한 반려용품을 지급한다. 반려견 헌혈카의 자세한 전국 순회 일정은 캠페인 사이트를 통해서 확인할 수 있다.

원성열 기자 sereno@donga.com"
424,"재규어랜드로버코리아, ‘재규어 랜드로버 스튜디오’ 스타필드 하남에 오픈"
425,2019-09-23 10:02
426,"재규어랜드로버코리아는 복합쇼핑몰 스타필드 하남에 ‘재규어 랜드로버 스튜디오’를 20일 오픈했다고 밝혔다재규어 랜드로버 스튜디오는 온가족이 즐길 수 있는 새로운 형태의 자동차 쇼핑 문화 공간이다. 쇼룸, 라이프 스타일 존, 고객 라운지로 공간이 구성되어 있다. 재규어 최초의 순수 전기차 I-PACE와 플레그십 세단 XJ, 올 뉴 레인지로버 이보크, 디스커버리 스포츠 등의 차량이 전시된다. 라이프스타일 존에서는 랜드로버가 추구하는 브리티시 럭셔리 라이프스타일을 체험하고 직접 구매도 할 수 있다. 또한 브랜드를 체험할 수 있는 미디어 월 및 재규어 랜드로버 고유한 자체 색상을 확인할 수 있는 조형물이 설치되어 차량 선택의 편의를 높였다.

원성열 기자 sereno@donga.com"
427,"[속보]검찰, ‘삼성바이오’ 관련 국민연금 기금운용본부·삼성물산 압수수색"
428,2019-09-23 10:01
429,"국민연금공단 기금운용본부.뉴스1 ⓒ News1

삼성바이오로직스(이하 삼성바이오) 분식회계 의혹을 수사하고 있는 검찰이 국민연금 기금운용본부와 삼성물산 압수수색에 나섰다.

서울중앙지검 특수4부(부장검사 이복현)는 23일 오전 전북 전주시 국민연금 기금운용본부와 서울 강동구 상일동 삼성물산 플랜트사업본부 등을 압수수색하고 컴퓨터 하드디스크와 관련 서류를 확보하고 있다.

(서울=뉴스1)
주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사"
430,"홍철호 의원 “코레일 철도종사자, 5년간 86명 음주 적발”"
431,2019-09-23 9:55
432,"추석 연휴 마지막날인 15일 고향에서 돌아온 귀경객들이 서울역 승강장을 빠져나오고 있다. ⓒ News1

근무 중 술을 마시거나 전날 음주로 인해 업무에서 사전 배제된 한국철도공사(코레일) 직원이 최근 5년 8개월간 86명에 달한 것으로 나타났다.

23일 국회 국토교통위원회 소속 홍철호 자유한국당 의원이 코레일로부터 받은 자료에 따르면 2014년부터 올해 8월말까지 근무 중 술을 마시거나 전날 음주로 인한 혈중알콜농도가 해소되지 않아 업무에서 사전 배제된 인원이 총 86명인 것으로 나타났다.

구체적으로는 2014년 27명, 2015년 20명, 2016년 18명, 2017년 7명, 2018년 8명, 올해 6명(8월말 기준)이다.

86명 중 근무 상황에서 술을 마셔 적발된 인원은 26명이며 나머지 60명은 전날의 음주로 인해 혈중알콜농도가 해소되지 않아 적발됐다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

담당 업무별로 보면 ‘철도 차량 및 시설 유지보수’, ‘각종 철도 작업 또는 공사’, ‘철도신호기 및 선로전환기 취급’ 등을 담당하는 차량·시설·전기 종사자가 41명으로 가장 많았다. 이어 기관사 및 부기관사 17명, 역장 및 역무원 13명, 승무원 11명, 관제사 2명 순이었다.

이들 86명은 전원 문책(해임 1명, 정직 14명, 감봉 34명, 견책 16명, 경고 16명, 명예퇴직 3명, 퇴직 2명)을 받았다.

다만 코레일은 기관사의 경우 열차 운행 중 음주를 하거나 음주 후 열차를 운전한 경우는 없었다고 밝혔다. 적발된 17명의 기관사 및 부기관사는 업무 시작 전의 음주검사에 적발돼 업무에서 배제된 것이다.

홍철호 의원은 “코레일은 업무 시작 전 뿐만 아니라 업무시간 중의 음주검사 횟수를 확대해야 한다”며 “철도안전을 철저히 보장하는 동시에 직원 징계 및 교육을 강화하라”고 지적했다.

(서울=뉴스1)"
433,"박홍근, ‘깡통주택’ 속여 계약하면 처벌강화 법안 발의"
434,2019-09-23 9:46
435,"박홍근 더불어민주당 의원. ⓒ News1

국회 국토교통위원회 소속 박홍근 더불어민주당 의원은 23일 임대인이 보증금을 들고 잠적하거나 깡통 주택을 속여 계약할 경우 세제 혜택을 환수하고 처벌을 강화하는 내용의 ‘민간임대주택에 관한 특별법 일부개정안’을 대표발의 했다고 밝혔다.

현행법은 등록임대사업자가 임대료 증액 상한이나 임대기간 등 의무사항을 준수할 경우 재산세와 임대소득세 감면, 종합부동산세 합산 배제, 양도소득세 감면 등 인센티브를 제공하고 있다.

그러나 최근 빌라 수백채를 ‘갭투자’한 등록임대사업자가 전세보증금을 돌려주지 않은 뒤 잠적해 세입자에게 큰 재산적 피해를 입히고도 각종 세제 혜택은 그대로 받는 문제점이 있는 것으로 드러났다.

박 의원은 “표준임대차계약서에 주택의 각종 권리관계를 확인하도록 기재되어 있으나 현장에선 정확한 정보가 생략되는 관행이 여전한데다 작정하고 거짓으로 정보를 제공해도 임차인이 대응하기 어렵다”며 “권리관계에 관한 정보 제공을 의무화하고 거짓으로 제공한 사업자에게 제재를 강화한다면 깡통전세로부터 보증금을 안전하게 보호할 수 있을 것”이라고 했다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사


(서울=뉴스1)"
436,"“홍길동씨 어디쯤이신가요?”…기업 10곳 중 7곳, ‘고스팅’ 피해"
437,2019-09-23 9:45
438,"기업 채용면접장에서 취업후보자들이 면접을 기다리고 있다. (사진은 기사 내용과 직접적인 관련이 없음) ⓒ News1
기업 10곳 중 7곳은 ‘고스팅’을 경험한 것으로 나타났다. 고스팅(Ghosting)은 유령처럼 보이지 않는다는 의미를 가진 신조어로 면접 당일 나타나지 않거나, 최종 합격 후 별다른 연락 없이 출근하지 않는 사람들을 뜻한다.

구인구직 매칭플랫폼 사람인이 기업 283개사를 대상으로 ‘고스팅 경험 여부’를 조사한 결과, 73.5%가 ‘경험이 있다’고 23일 밝혔다.

기업들이 겪은 고스팅 유형(복수응답)으로는 ‘면접 고스팅’(79.3%)이 많았다. 다음으로 ‘출근 고스팅’(49.5%), ‘퇴사 고스팅’(38.5%) 순이었다. 퇴사 고스팅은 기업에 퇴사 통보 없이 갑자기 회사를 그만두고 연락이 두절되는 경우다.

고스팅으로 인해 기업들이 겪은 피해(복수응답)로는 Δ새로운 채용 진행에 따른 비용·시간 낭비(85.6%) Δ다른 인재의 면접 기회를 놓침(51.4%) Δ계획했던 입사 일정 맞추지 못함(48.6%) Δ타 직원들의 업무 가중과 사기 저하(28.8%) Δ회사의 이미지 실추(8.7%) 등의 순이었다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

(자료제공=사람인) ⓒ News1
기업이 꼽은 고스팅이 발생하는 원인(복수응답)으로는 Δ묻지마 지원을 해서(61.1%)다. 뒤이어 Δ고스팅 인원에 대한 별다른 제제가 없어서(38%) Δ취업 의지가 부족해서(35.6%) Δ지원자의 책임감과 인내력이 부족해서(34.1%) Δ기업 규모가 작아서(33.2%) Δ연봉 등 처우가 좋지 않아서(26%) 순이었다.

또 기업들은 앞으로 고스팅 지원자가 계속 늘어날 것으로 전망했다. 최근 1년 동안 고스팅 지원자가 늘어나는 여부에 대한 질문에 10곳 중 5곳(46.2%)가 ‘늘어나는 추세’라고 응답했다. ‘줄어드는 추세’(5.8%)의 8배에 달했다.

늘어나는 고스팅 지원자에 대응하기 위해 기업들은 여러 대안(복수응답)을 내놓고 있다. 구체적으로 기업들은 Δ채용 일정 등을 여러 번 안내(50.4%) Δ공고에 연봉·채용 조건 등 명확히 기재(47%) Δ사내 추천 제도 적극 활용(25.2%) Δ수평적이고 편안한 조직문화로 변화(16.7%) Δ연봉·복리후생 등 처우 개선’(16.2%) Δ경력직의 경우 평판조회 활용(16.2%) 등의 방법을 이용한다고 답했다.

이 밖에도 기업들은 고스팅이 근절되기 위해 필요한 것(복수응답)으로는 Δ구직자의 책임감 있는 태도(58.3%) Δ묻지마 지원 근절(48.4%) Δ자세하고 명확한 조건의 채용 공고 게재(42%) Δ고스팅 지원자에 불이익 주는 제도 도입(25.1%) Δ연봉 등 근로자에 대한 처우 개선(24%) Δ지원자에 대한 레퍼런스 체크 철저(20.1%) Δ인재 채용 시스템의 체계화(19.4%) 등을 꼽았다.

(서울=뉴스1)"
439,의류업계 ‘유니폼 강매’ 관행 바뀌나…“자율복장제 속속 도입”
440,2019-09-23 9:43
441,"“일부 의류 매장에서 자사 옷을 입는 것을 당연시하는 분위기다. 계절마다 새 옷을 사야 해 부담이 컸다.”

지난 2013년 ‘유니클로 유니폼 강매 주장’ 논란으로 홍역을 겪은 SPA 브랜드들이 또 다시 논란에 휩싸였다. 탑텐 매장의 점주가 한 직원에게 유니폼을 강매했다는 주장이 제기되면서다.

지난 19일 서울 강남역 일대 주요 SPA(생산·유통·판매를 자체적으로 하는 것) 브랜드들을 둘러보니 대부분의 현장 직원들은 자사 의류를 착용하고 있는 것으로 확인됐다.

SPA 브랜드 매장에서 자사 의류를 입고 일하는 것은 공공연한 업계 관행으로 여겨져 왔다. 결국 사비로 의류를 구매해야 하는 부담을 떠안은 것은 현장 직원들인 셈이다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

서울 시내의 유니클로 매장의 모습 ⓒ News1
◇SPA 브랜드 유니폼 규정 현황은? = ‘걸어 다니는 광고’ 마케팅을 표방하는 유니클로는 스태프들이 입사시 10만원 상당의 상·하의를 한 벌씩을 제공한다. 주 5일 근무를 기본으로하는 스태프들은 옷을 사비로 추가 구매할 수 밖에 없다.

유니클로 스태프로 입사한 김수정씨(가명·25·여)는 “스태프들이 유니클로 옷만 입어야 하는 규정이 있다”면서 “입사시 처음 지급되는 옷 한 벌 외에 계절마다 옷을 살 수밖에 없다”고 토로했다.

그러면서 박씨는 “30% 할인된 가격으로 제품을 구매할 수 있지만 일본 제품에 대한 불매운동이 한창인 지금 유니클로 옷을 구매하는 것도 눈치가 보이는 것은 사실”이라고 덧붙였다.

최근 2·3호점 문을 연 유니클로의 자매 브랜드인 지유(GU)도 마찬가지다. 두 매장 모두 패스트리테일링 소속의 의류 브랜드로 동일한 유니폼 정책을 채용하고 있다.

지난 14일 아르바이트 채용시 유니폼 구매를 강매했다는 의혹에 휩싸였던 탑텐은 내년부터 입사자들에게 시즌별 옷 3벌을 증정하는 계획을 검토하고 있다. 앞서 탑텐은 근무시 자사 제품 착용을 원칙으로 했다.

한 노무법인 소속 노무사는 “근로기준법에 의복비 지급에 대한 기준이 없다”면서도 “입사 전 의복 구매에 대한 규정을 고지 받지 않았다면 문제의 소지가 될 수 있다”고 말했다.

반면 스파오는 2017년부터 큰 로고가 그려진 티셔츠가 아니면 직원들이 자유로운 의상을 입을 수 있도록 했다. 에잇세컨즈는 매 시즌별로 유니폼을 제공하고 있다.

서울 중구 명동의 의류매장 쇼윈도에 가을옷이 전시돼 있다. ⓒ News1
◇의류업계 “입·퇴사 잦아…자율 복장제 선호” = 의류업체들이 이런 정책을 공통적으로 채택한 것은 나름 이유가 있다. 아르바이트생들의 입·퇴사가 빈번해 유니폼을 전부 지급하기 어렵다고 하소연한다. 그래서 나온 대안이 ‘자율 복장’ 제도다.

유니클로는 지난해 3월 PT(파트타이머)에 한해 자율 복장 제도를 도입했다. 과거 상하의를 각 한 벌씩 지급하는 규정을 유지하다 파트타이머 직원들에 한해 규정을 수정한 것.

이랜드월드는 여성 SPA 브랜드 미쏘는 매장 직원들에게 유니폼을 지급해 오다 올해 6월부터 자율 복장 제도를 도입했다.

SPA 브랜드 이외에도 의류업계는 전반적으로 자율복장제를 시행하고 있다. 스포츠 브랜드 뉴발란스도 직원들을 상대로 매 시즌 주력 상품 착용을 제안하고 있지만, 복장에 제한을 두지 않는다.

LF의 대표 브랜드인 헤지스 역시 자율 복장 제도를 채용하고 있지만, 시즌별 주력 상품에 대해서는 매장 인원에 맞게 무료로 지급하고 있다.

삼성물산 패션부문의 대표 브랜드인 빈폴은 자율 복장 대신 매장 직원의 유니폼을 시즌별 별도로 제작해 무료로 제공하고 있다.

업계 관계자는 “일부 의류회사는 직원들에게 유니폼을 지급하고 있지만, 입·퇴사가 잦은 곳은 복장 자율화를 지침으로 마련해 직원들의 부담을 줄이는 추세”라고 설명했다.

(서울=뉴스1)"
