"","x"
"33","아웃도어 매장을 인수하려는데, 투자하면 고수익을 얻을 수 있다고 속여 피해자들로부터 수억원을 가로챈 40대 여성에게 실형이 선고됐다.

울산지법 제6형사단독(판사 황보승혁)은 사기죄로 기소된 A(42)씨에게 징역 3년6개월을 선고했다고 24일 밝혔다.

A씨는 2015년 12월 경남 양산시의 가게에서 “김해의 아웃렛 아웃도어 매장을 인수하려하는데 인수대금의 절반인 4억5000만원을 투자하면 원금 보장과 함께 매월 1000만원의 수익금을 지급하겠다”고 B씨를 속여 6억5000만원을 받는 등 투자 사기를 통해 2명으로부터 총 8억6000만원을 가로챈 혐의로 기소됐다.

그녀는 피해자들을 속이고 받은 돈으로 수익금을 지급하고, 허위 영수증 등을 제공하며 피해자들을 속였다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

또 수사가 시작되자 장기간 출국해 수사기관에 출두하지 않고, 법정에서 자신도 다른 사람에 속아 피해자들과의 약속을 지킬 수 없었다며 변명으로 일관했다.

재판부는 “편취금액이 거액임에도 피해회복이 이뤄지지 않은 점, 피고인이 동종 범행으로 처벌받은 전력 있는 점 등을 고려해 실형을 선고했다”고 양형 이유를 밝혔다.

【울산=뉴시스】"
"34","조국 자택 ‘11시간 압색’ 논란에…檢 “영장 추가발부 탓”"
"35","2019-09-24 13:50"
"36","서울 서초구 서울중앙지방검찰청. ⓒ News1

검찰이 조국 법무부 장관 자택 압수수색이 11시간 소요된 것과 관련해 24일 공식입장을 내고 “압수수색 진행 과정에 변호인이 참여할 수 있도록 기다려 달라는 가족의 요청으로 변호인들이 참여할 때까지 압수수색을 진행하지 않았다”고 밝혔다.

앞서 조 장관 자택 압수수색이 전날 오전 9시께부터 오후 8시께까지 이어지면서 자택 압수수색 치고 이례적으로 오랜 시간이 걸렸다는 뒷말과 함께 더불어민주당 등 정치권을 중심으로 ‘먼지털이식 수사’라는 비판이 나왔다.

검찰은 또 “이후 압수수색 영장 집행 과정에서 압수 대상 목적물 범위에 대한 변호인 측의 이의제기가 있었다”며 “압수수색 영장 효력에 대한 불필요한 논란을 없애고 적법하게 절차를 진행하기 위해 2차례에 걸쳐 순차적으로 법원으로부터 추가 압수수색 영장을 발부받아 추가 집행을 실시했다”고 밝혔다.

압수수색 과정에서 식사하게 된 경위와 관련해선 “오후 3시쯤 가족이 점심식사 주문을 한다고 하기에 압수수색팀은 점심 식사를 하지 않고 계속 압수수색을 진행하겠다고 했다”며 “하지만 가족이 압수수색팀이 식사하지 않으면 가족들도 식사를 할 수 없다고 하면서 식사를 권유해 함께 한식을 주문해 식사를 하고, 압수수색팀의 식사대금은 압수수색팀이 별도로 지불했다”고 했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

검찰은 “그밖에 압수수색 진행 시간을 의도적으로 끌기 위해 짜장면을 주문했다거나 압수수색 집행 과정에서 금고 압수를 위해 금고 기술자를 불렀다는 주장은 모두 사실이 아니다”고 했다.

(서울=뉴스1)
꼬리 무는 조국 의혹
조국, 검사들에 이메일…“검찰 개혁, 직접 듣겠다”
조국 자택 ‘11시간 압색’ 논란에…檢 “영장 추가발부 탓”
홍준표 “조국 ‘큰 뜻’ 돈 마련하려다 윤석열에 걸린 듯”"
"37","화성살인 용의자 4차 대면조사…‘압박증거·심리분석’ 통할까"
"38","2019-09-24 13:48"
"39","경기남부지방경찰청. ⓒ 뉴스1

경찰이 경기도 화성연쇄살인사건 유력 용의자 이모씨(56)에 대한 4차 대면조사에 착수한 것으로 24일 확인됐다.

사건을 수사 중인 경기남부지방경찰청에 따르면 이날 오전 수사 전담팀을 이씨가 복역 중인 부산교도소로 보내 4차 대면조사를 진행 중이다. 3차 조사 이후 나흘만이다.

3차 조사 때 참여한 프로파일러 3명도 함께 동행한 것으로 확인됐다. 이들 중에는 지난 2009년 여성 10명을 살해한 강호순의 자백을 받아낸 프로파일러도 포함된 것으로 전해졌다.

피해자 3명의 유류품에서 나온 DNA와 자신의 DNA가 일치함에도 일관되게 범행을 부인해온 이씨의 자백을 이끌어 낼 지 관심이 주목된다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

경찰은 3차 조사때와는 달리 과거 경찰에서 한차례 조사를 받았던 이씨에 대한 수사기록, 피해자 유류품에 나온 DNA 등 객관적 증거자료 등을 토대로 이씨의 자백을 이끌어 낼 것으로 보인다.

4차 대면조사에 앞서 지난 1994년 충북 청주에서 처제를 성폭행하고 살해한 혐의로 무기징역을 선고받은 이씨에 대한 사건기록 전부가 담긴 검찰의 문건도 면밀히 검토한 것으로 전해졌다.

검찰 측의 열람등사 허용에 따라 사건기록을 넘겨받은 경찰이 화성연쇄살인과 관련해 이씨를 압박할 만한 주요단서가 있는지 등을 파악, 이씨의 혐의입증에 주력할 것으로 보인다.

앞서 경찰은 5·7·9차 피해여성 유류품에서 나온 DNA와 50대 남성의 DNA와 일치한다는 국립과학수사연구원의 감정 결과를 토대로 부산교도소에 수감 중인 이씨를 유력 용의자로 특정했다.

하지만 이씨는 지난 18일부터 3차례 진행된 대면조사에서 범행 일체를 완강히 부인했다.

(수원=뉴스1)
화성 연쇄살인 용의자 확인
화성살인 용의자 4차 대면조사…‘압박증거·심리분석’ 통할까
화성연쇄살인사건 용의자 조사 잠시 중단…‘처제살인’ 먼저 분석
“이춘재, 화성사건 당시 3차례 용의선상에 올라”"
"40","국정원 “돼지열병 北유입 명확지 않지만…평북 북부 돼지 전멸”"
"41","2019-09-24 13:46"
"42","ⓒ News1

이혜훈 국회 정보위원장은 24일 최근 확산되고 있는 아프리카 돼지열병이 북한에서부터 유입됐을 가능성에 대해, “국가정보원이 그렇게 명확히 얘기하지 않았다”면서도 “평안북도 북부에 돼지가 전멸했다고 전했다”고 밝혔다.

이 위원장은 이날 오후 국회에서 열린 정보위 전체회의 이후 기자들과 만나 “지난 번 북한이 (돼지열병 발병을) 국제기구에 신고했는데, 그 이후 방역이 잘 안됐다(고 국정원이 설명했다)”라며 이렇게 말했다.

이 위원장은 “(평안북도 북부 사육 지역에) 돼지가 아예 없다, 있는 집의 거의 없다고 한다”며 “(열병이) 상당히 확산됐던 징후들을 오늘 (국정원이) 보고했다”고 설명했다.

정보위 민주당 간사인 김민기 의원은 “북한 당국이 돼지 축사에 근무했던 근무자들이 추석때 성묘를 금지했다고 한다”고 덧붙이기도 했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

이 위원장은 돼지열병과 관련해 국정원이 “정보를 수집하는 차원과 공동 방역을 하는 차원, 이를 투트랙으로 협조하길 희망하는데 북한의 미온적 반응으로 쉽지 않다고도 했다”고 말했다.


(서울=뉴스1)
아프리카돼지열병 국내 첫 발생
ASF 정밀검사 ‘음성’ 판정 사흘만에 ‘확진’ 허점 드러냈다
ASF 발생 김포 돼지농장 방문 사료차량, 충북 음성·진천 경유
파주 4번째 돼지열병 확진 농가, 하루 전 혈청검사는 ‘음성’"
"43","‘인천 붉은수돗물’ 탁도계, 고장 아니라 공무원이 고의로 껐다"
"44","2019-09-24 13:42"
"45","ⓒ News1

‘부실대응’ 논란이 빚어진 ‘인천 붉은 수돗물’ 사태 당시 탁도계가 고장이 아닌 시상수도사업본부 공무원들에 의해 ‘고의로 꺼진’ 사실이 뒤늦게 드러났다.

24일 인천지방경찰청 지능범죄수사대에 따르면 공전자기록 위변작 및 직무유기 혐의 등으로 인천시상수도사업본부 A씨 등 7명을 불구속 입건했다.

A씨 등은 지난 5월 30일 인천시 서구 공촌정수장에서 수계전환을 하는 과정에서 수돗물의 탁도를 측정하는 탁도계를 끈 혐의 등을 받고 있다.

앞서 환경부는 지난 6월18일 ‘붉은 수돗물 사태’에 대한 중간조사 결과를 발표하고 탁도계 고장으로 정확한 탁도 측정이 이뤄지지 않았다고 발표한 바 있다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

그러나 경찰은 붉은 수돗물로 피해를 입었다고 주장하는 시민들로부터 고소, 고발장을 접수받고 수사에 착수해 7월 공촌정수장등에 대한 압수수색을 단행, 탁도계 고장이 아니라 직원들이 고의로 끈 정황을 확인한 것으로 알려졌다.

이후 경찰은 A씨 등에 대한 구속영장을 신청했으나, 이달 20일 인천지법에서 열린 구속 전 피의자심문(영장실질심사)에서 영장이 기각되면서 A씨 등을 불구속한 상태에서 수사를 벌이고 있다.

경찰은 A씨 등이 탁도계를 끈 경위 등을 수사 중이다.

경찰은 오는 9월말로 예정된 인천시의 붉은 수돗물 피해 보상 접수가 마무리되는 대로 최종 피해 인원을 확인해 업무상과실치상 혐의를 추가해 A씨 등을 검찰에 송치할 방침이다.

인천 붉은 수돗물 사태는 지난 5월30일 발생한 적수사태는 풍납취수장이 3년마다 받는 정기점검을 위해 가동을 중단하자 시 상수도사업본부가 대규모 단수사태를 막기 위해 수계전환을 실시하면서 비롯됐다.

이 과정에서 일시적으로 수압이 급상승했고 높아진 수압에 의해 노후 수도관에 붙어 있던 녹 등 이물질이 떨어져 수도관을 타고 가정으로 유입됐다.

(인천=뉴스1)"
"46","국정원 “北 평안북도 돼지 전멸…전역에 아프리카돼지열병 확산중”"
"47","2019-09-24 13:39"
"48","ⓒ News1 김일환 디자이너

아프리카돼지열병(ASF)으로 북한 평안북도의 돼지가 전멸했다고 국가정보원이 24일 밝혔다.

국정원은 이날 서훈 국정원장이 참석한 가운데 열린 국회 정보위원회 전체회의에서 이같이 보고하면서 ""(북한에) 고기가 있는 집이 없다는 불평이 나올 정도""라고 설명했다.

국정원은 ""지난 5월 북한이 국제기구에 ASF 발병을 신고했지만 그 이후 방역이 잘 안 된 것 같다""며 ""북한 전역에 상당히 확산됐다는 징후가 있다""고 전했다.

또 ""공동방역 차원에서 투트랙 협조가 이뤄지기를 희망하지만 북한의 미온적 대응으로 쉽지 않은 상황""이라고 덧붙였다.

박태근 동아닷컴 기자 ptk@donga.com
주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

오늘의 핫이슈"
"49","섬진강서 낚시하다 실종된 30대 숨진 채 발견"
"50","2019-09-24 13:39"
"51","광양소방서 ⓒ News1

섬진강에서 낚시를 하다가 실종된 30대가 숨진 채 발견됐다.

광양소방서 119구조대는 24일 오전 10시쯤 전남 광양시 다압면 섬진대교 아래에서 이틀전 실종된 A씨(38)를 발견, 경찰에 인계했다고 밝혔다.

A씨는 지난 22일 오전 7시30분쯤 경남 하동군 화개면 덕은리 섬진강으로 낚시를 왔다가 실종됐다.

광양 119구조대는 고무보트와 구조대원 등 6명을 투입해 섬진대교와 남도대교 사이를 집중 수색하던 중 섬진대교 아래 강변 부근에서 숨진 A씨를 발견해 인양했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

(광양=뉴스1)"
